PRIMER NOMBRE;SEGUNDO NOMBRE;APELLIDO PATERNO;APELLIDO MATERNO;TIPO IDENTIFICACION;CEDULA/PASAPORTE;RUC;TELEFONO;CELULAR;CORREO;DESCRIPCION DE SOCIO;TIPO DE SOCIO;SUCURSAL REGISTRO;FECHA NACIMIENTO;GENERO;DISCAPACIDAD;ESTADO CIVIL;Nro CARGAS FAMILIARES;DOMICILIO CALLE PRINCIPAL;DOMICILIO CALLE SECUNDARIA;DOMICILIO Nro Vivienda;DOMICILIO PROVINCIA;DOMICILIO CANTON;DOMICILIO PARROQUIA;DOMICILIO BARRIO;DOMICILIO REFERENCIA;ACTIVIDAD ECONOMICA;NEGOCIO CALLE PRINCIPAL;NEGOCIO CALLE SECUNDARIA;NEGOCIO Nro Vivienda;NEGOCIO PROVINCIA;NEGOCIO CANTON;NEGOCIO PARROQUIA;NEGOCIO BARRIO;NEGOCIO REFERENCIA
Melissa;Susan;Tucker;Hanson;C;1004002000;;7-(000)296-8483;5-(482)325-3795;;"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.";CLIENTE;Mira;31/10/2014;M;NO;SOLTERO;3;Alpine;Red Cloud;4;Bolivia;China;China;China;Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.;Tendero;;Judy;117;China;China;China;China;Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
Phyllis;Tina;Hunter;Spencer;P;1002003000;;4-(805)917-9709;0-(042)131-4344;tspencer8f@redcross.org;;CLIENTE;Mira;21/04/2014;M;NO;CASADO;3;Calypso;Summit;347;China;Argentina;Argentina;Argentina;Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.;Tendero;Magdeline;Towne;6830;Argentina;Argentina;Argentina;Argentina;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.
Gerald;Adam;George;Chavez;C;1002003000;;1-(476)732-6346;3-(344)090-0241;achavez8g@wunderground.com;"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.";CLIENTE;Pimampiro;22/03/2014;M;NO;VIUDO;2;;Golf;1;French Polynesia;Indonesia;Indonesia;Indonesia;In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.;Carnicero;Eastlawn;Dryden;22;Indonesia;Indonesia;Indonesia;Indonesia;"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
Gary;Joan;Russell;Burton;P;1004002000;;3-(835)582-4153;9-(279)764-0877;jburton8h@macromedia.com;;CLIENTE;Mira;14/07/2014;F;NO;CASADO;0;Hermina;Meadow Valley;7857;Vietnam;Uganda;Uganda;Uganda;Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.;Panadero;Village;Bartillon;6;Uganda;Uganda;Uganda;Uganda;Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
Gregory;Ronald;Henderson;Rice;C;1004002000;;7-(933)367-7103;3-(221)684-7597;rrice8i@google.com.br;"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.";CLIENTE;Mira;26/07/2014;M;NO;SOLTERO;;Onsgard;Graedel;91;China;Indonesia;Indonesia;Indonesia;Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.;Costurero;Ridgeway;Mesta;52795;Indonesia;Indonesia;Indonesia;Indonesia;Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
Robert;Cynthia;Weaver;Armstrong;C;1004002000;;5-(483)580-9524;4-(820)449-3465;carmstrong8j@fema.gov;;CLIENTE;;04/02/2014;M;SI;SOLTERO;3;Porter;Larry;55470;Poland;China;China;China;In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.;Costurero;Banding;Maple;245;China;China;China;China;Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
Brian;Steven;King;Ford;C;1004002000;;5-(312)797-9782;2-(859)201-4941;sford8k@dropbox.com;"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.";CLIENTE;Mira;25/02/2014;F;NO;SOLTERO;3;Pine View;Algoma;1;Egypt;China;China;China;"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.";Artesano;Blaine;Hanover;75923;China;China;China;China;Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.
Joyce;Mark;Sullivan;Cooper;C;1004002000;;7-(201)927-5282;5-(444)588-0688;;;CLIENTE;Urcuqui;04/05/2014;F;NO;CASADO;;Almo;Shelley;3;China;Indonesia;Indonesia;Indonesia;Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.;Comerciante;Farmco;Haas;35198;Indonesia;Indonesia;Indonesia;Indonesia;Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.
Kathy;Cynthia;Barnes;Williams;P;1002003000;;2-(312)320-4207;6-(726)867-4860;;;CLIENTE;Mira;13/05/2014;F;SI;VIUDO;;;Melody;5;Ukraine;Slovenia;Slovenia;Slovenia;Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.;Costurero;Sheridan;Scott;7579;Slovenia;Slovenia;Slovenia;Slovenia;Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.
Anne;Christine;Spencer;Hayes;C;1002003000;;6-(985)539-1613;9-(062)157-7596;chayes8n@cnbc.com;"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.";GARANTE;;18/01/2014;M;NO;VIUDO;3;Redwing;;3139;;Indonesia;Indonesia;Indonesia;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.;Carnicero;Havey;4th;90842;Indonesia;Indonesia;Indonesia;Indonesia;Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.
Evelyn;Louise;Wheeler;Larson;P;1004002000;;2-(102)943-7603;6-(638)038-3341;llarson8o@globo.com;;CLIENTE;Urcuqui;07/04/2014;M;NO;SOLTERO;2;High Crossing;Ramsey;789;Canada;China;China;China;Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.;Carnicero;Cascade;Esch;2766;China;China;China;China;Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Kathleen;Ernest;Torres;Mills;C;1004002000;;0-(656)257-5321;4-(529)243-4696;emills8p@sogou.com;"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.";CLIENTE;Mira;05/06/2014;M;NO;CASADO;;;Spaight;1;Germany;France;France;France;Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.;Artesano;;Troy;188;France;France;France;France;Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
Gary;Peter;Martinez;Ray;C;1004002000;;1-(694)379-3832;;pray8q@nymag.com;Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.;CLIENTE;El Angel;06/11/2014;M;NO;SOLTERO;;Bunting;Sherman;;Venezuela;China;China;China;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.;Escultor;Fremont;Mayfield;1;China;China;China;China;Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.
Peter;Helen;Griffin;Sims;P;1004002000;;2-(576)799-8165;0-(450)978-0229;;Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.;CLIENTE;El Angel;25/08/2014;F;NO;CASADO;1;Jackson;Pankratz;355;Poland;China;China;China;Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;Panadero;Bowman;Sachs;90;China;China;China;China;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.
Kathleen;Rose;Kim;Henderson;P;1004002000;;2-(606)026-0453;3-(836)268-6131;rhenderson8s@narod.ru;"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.";CLIENTE;Mira;18/05/2014;F;NO;CASADO;3;Warner;Dixon;19;U.S. Virgin Islands;Afghanistan;Afghanistan;Afghanistan;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.;Lechero;Hooker;Mesta;6;Afghanistan;Afghanistan;Afghanistan;Afghanistan;"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
Emily;Robin;Cunningham;Powell;C;1004002000;;5-(432)713-9557;4-(162)215-4147;;;CLIENTE;Pimampiro;10/03/2014;F;NO;CASADO;;Drewry;;27;Indonesia;Spain;Spain;Spain;Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.;Panadero;Chive;;82;Spain;Spain;Spain;Spain;Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
Michelle;Frances;Garza;Mendoza;C;1002003000;;5-(262)778-4764;4-(493)384-4731;;Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.;CLIENTE;Urcuqui;18/04/2014;M;NO;SOLTERO;;Nelson;Corscot;64;Japan;Indonesia;Indonesia;Indonesia;Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.;Digitado;;Elmside;9;Indonesia;Indonesia;Indonesia;Indonesia;"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
Walter;Karen;Howard;Hall;C;1004002000;;2-(305)590-9896;1-(047)002-0484;khall8v@tripadvisor.com;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.;CLIENTE;Pimampiro;;M;SI;VIUDO;1;Dunning;Carberry;84400;China;Palestinian Territory;Palestinian Territory;Palestinian Territory;Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.;Lechero;Dovetail;Namekagon;56213;Palestinian Territory;Palestinian Territory;Palestinian Territory;Palestinian Territory;Fusce consequat. Nulla nisl. Nunc nisl.
Phillip;Patricia;Peterson;Stewart;C;1004002000;;8-(768)544-8343;6-(205)566-9899;;Sed ante. Vivamus tortor. Duis mattis egestas metus.;CLIENTE;Urcuqui;01/02/2014;M;NO;VIUDO;2;Manufacturers;Chinook;64;Poland;Indonesia;;Indonesia;Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.;Carnicero;Acker;Knutson;93091;Indonesia;Indonesia;Indonesia;Indonesia;Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
Ralph;Raymond;Riley;Morris;C;1004002000;;9-(877)127-1281;9-(339)885-3954;;Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.;CLIENTE;Urcuqui;01/10/2014;M;NO;SOLTERO;;Maple;Di Loreto;88878;Portugal;China;China;China;Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.;Comerciante;Kenwood;Eliot;1950;;China;China;China;
Joseph;;Davis;Jenkins;C;1004002000;;6-(897)662-3435;0-(209)545-6012;;"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.";CLIENTE;Urcuqui;21/01/2014;F;NO;SOLTERO;;Canary;Heffernan;64;Democratic Republic of the Congo;China;China;China;In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.;Carnicero;Lyons;Nancy;5;China;China;China;China;Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Christopher;Ruby;Bishop;Miller;P;1004002000;;9-(665)850-1770;9-(179)156-9340;;In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.;CLIENTE;Mira;02/10/2014;F;NO;CASADO;0;Waubesa;Nova;5;Portugal;Japan;Japan;Japan;In congue. Etiam justo. Etiam pretium iaculis justo.;Costurero;Division;Tennessee;52;Japan;Japan;Japan;Japan;Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
Kenneth;Diane;Garza;Lewis;C;1004002000;;1-(401)529-6348;7-(416)580-3550;dlewis90@amazon.co.uk;Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.;CLIENTE;Urcuqui;20/11/2013;M;NO;DIVORCIADO;;Nobel;Becker;;United States;;China;China;Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.;Carnicero;Armistice;Fordem;6763;China;China;China;China;Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Jason;Terry;Black;Russell;C;1002003000;;0-(696)928-8781;;;"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.";CLIENTE;El Angel;12/03/2014;F;NO;VIUDO;3;Hovde;Merchant;46;Philippines;Indonesia;Indonesia;Indonesia;Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.;Mecánico;Florence;Anzinger;3;Indonesia;Indonesia;Indonesia;Indonesia;Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.
Bonnie;;Cook;;C;1002003000;;3-(017)968-4088;8-(590)921-1378;;;GARANTE;Pimampiro;19/08/2014;M;NO;CASADO;;Pankratz;Fair Oaks;78684;Indonesia;Uruguay;Uruguay;Uruguay;;Escultor;Ilene;High Crossing;10;Uruguay;Uruguay;Uruguay;Uruguay;Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.
Denise;Victor;Howard;Cook;C;1004002000;;3-(827)823-7496;0-(788)072-4643;vcook93@slashdot.org;;CLIENTE;Mira;24/01/2014;F;NO;CASADO;1;Union;Orin;73;Malaysia;France;France;France;;Digitado;Oak Valley;5th;46;France;France;France;France;Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
Roger;Melissa;Duncan;Anderson;C;1004002000;;3-(907)021-4517;5-(137)053-7617;manderson94@bravesites.com;;CLIENTE;El Angel;11/06/2014;M;NO;SOLTERO;4;Rowland;Acker;;Colombia;France;France;France;Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.;Carnicero;Dottie;Elmside;1;France;France;France;;Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
Sean;Anna;Lawson;Fowler;C;1004002000;;5-(668)763-0207;3-(548)924-1661;afowler95@aol.com;"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.";CLIENTE;Pimampiro;03/08/2014;M;NO;CASADO;3;Petterle;;432;Indonesia;Indonesia;Indonesia;Indonesia;Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.;Costurero;Ryan;Green;33193;Indonesia;Indonesia;Indonesia;Indonesia;Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.
Randy;Ashley;Myers;Hawkins;C;1004002000;;0-(554)966-9078;0-(152)917-6851;ahawkins96@google.de;Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.;CLIENTE;Pimampiro;29/03/2014;F;NO;VIUDO;;Summit;Sunfield;51;China;Greece;Greece;Greece;Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.;Artesano;Arrowood;Esch;36621;Greece;;Greece;Greece;Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
Jonathan;Tammy;Morgan;Price;C;1004002000;;9-(638)968-8184;9-(643)286-6431;tprice97@washingtonpost.com;;GARANTE;Pimampiro;03/09/2014;M;NO;SOLTERO;4;Nelson;Messerschmidt;2633;Philippines;Japan;Japan;Japan;Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.;Digitado;Dryden;Moose;8;Japan;Japan;Japan;Japan;Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.
Julie;Scott;Fuller;Martinez;C;1004002000;;5-(388)621-5032;9-(947)385-6354;;;CLIENTE;Mira;28/12/2013;M;NO;SOLTERO;4;Sunfield;Sullivan;76;Philippines;China;China;China;Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.;Mecánico;Mayfield;Transport;49;China;China;China;China;Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.
Ryan;Thomas;Chavez;Thomas;C;1002003000;;3-(448)431-7144;0-(360)473-7759;;"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.";CLIENTE;Urcuqui;18/05/2014;F;NO;VIUDO;3;Eagle Crest;Graedel;60;Nepal;Hungary;Hungary;Hungary;Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.;Digitado;Calypso;Del Sol;561;Hungary;Hungary;Hungary;Hungary;Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
Terry;Lawrence;Carr;Alexander;C;1002003000;;0-(013)966-4839;8-(026)268-2020;;;CLIENTE;Pimampiro;01/04/2014;M;NO;CASADO;3;Ridge Oak;Shelley;6;Chile;China;China;China;Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.;Lechero;Northridge;Bonner;6;China;China;China;China;Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
Wayne;Jeffrey;Scott;Henderson;C;1002003000;;5-(081)617-7456;0-(647)647-8341;;Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.;CLIENTE;Pimampiro;13/10/2014;M;NO;DIVORCIADO;0;Dunning;Dennis;2;Ukraine;Philippines;Philippines;Philippines;"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.";Carnicero;Meadow Vale;Sullivan;4;Philippines;Philippines;Philippines;Philippines;Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Janet;Julia;Howard;;C;1002003000;;1-(359)232-8363;7-(017)363-3076;;;CLIENTE;Pimampiro;12/09/2014;F;SI;CASADO;1;North;Old Gate;71;Chile;China;China;China;;Mecánico;Kingsford;Sycamore;45172;China;China;China;China;
Nancy;Martin;Rice;Daniels;C;1002003000;;2-(877)522-3827;0-(446)339-7936;;;CLIENTE;Urcuqui;14/09/2014;M;NO;SOLTERO;1;Roxbury;Graedel;25;Russia;Colombia;Colombia;Colombia;Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.;Tendero;Briar Crest;Bartelt;712;Colombia;Colombia;Colombia;Colombia;"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
Joyce;Jean;Owens;Lawrence;C;1004002000;;8-(456)954-8853;0-(695)595-1607;;;CLIENTE;El Angel;13/02/2014;F;;VIUDO;;Meadow Valley;Troy;10;Indonesia;Qatar;Qatar;Qatar;Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.;Escultor;Surrey;Loftsgordon;73;;Qatar;Qatar;;Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.
Robin;William;Bell;Ryan;C;1004002000;;4-(761)253-4716;8-(730)118-0691;;Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;CLIENTE;Urcuqui;15/11/2013;M;NO;DIVORCIADO;2;Gale;Kipling;1297;Iran;Indonesia;Indonesia;Indonesia;"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.";Tendero;Hooker;Roxbury;335;Indonesia;Indonesia;Indonesia;;Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
Alan;Dorothy;Henry;Kelly;P;1004002000;;0-(552)597-5765;9-(859)181-8256;dkelly9g@hao123.com;"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.";CLIENTE;Pimampiro;16/07/2014;F;NO;SOLTERO;2;Fordem;Gina;7334;Philippines;Russia;Russia;Russia;Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.;Heladero;Dottie;Burrows;28868;Russia;Russia;Russia;Russia;In congue. Etiam justo. Etiam pretium iaculis justo.
Denise;Scott;Walker;Larson;C;1004002000;;5-(058)527-0630;3-(551)403-2833;;;CLIENTE;Urcuqui;24/10/2014;M;NO;CASADO;2;Texas;Service;95;Sweden;Philippines;Philippines;Philippines;Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.;Heladero;1st;Northwestern;6;Philippines;Philippines;Philippines;Philippines;Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.
Scott;Ruby;Fisher;Mason;C;1002003000;;2-(135)765-3526;7-(596)225-7080;rmason9i@51.la;"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.";CLIENTE;Mira;10/06/2014;M;NO;CASADO;2;Havey;Old Gate;53;Denmark;France;France;France;Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.;Digitado;Starling;Clyde Gallagher;73;France;France;France;France;Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.
Rachel;John;Howard;Morales;C;1002003000;;5-(141)106-7400;9-(632)003-3661;jmorales9j@1und1.de;Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.;GARANTE;Urcuqui;14/07/2014;M;NO;CASADO;;Eliot;Redwing;;Philippines;China;China;China;Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.;Comerciante;Vidon;Fair Oaks;2017;China;China;China;China;Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.
Fred;Angela;Stewart;Hawkins;C;1004002000;;0-(284)928-0199;8-(044)046-4420;ahawkins9k@zdnet.com;Fusce consequat. Nulla nisl. Nunc nisl.;GARANTE;Mira;13/11/2014;F;NO;CASADO;;Hoffman;Norway Maple;934;Brazil;Kazakhstan;Kazakhstan;Kazakhstan;Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.;Carnicero;Old Gate;Mariners Cove;9;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.
